t,px,py,pz,vx,vy,vz,ax,ay,az,yaw
68.30000000000001,21.528466490584915,-13.5047815710329,-10,1.4142174190630596,0.6836594122009568,0,nan,nan,nan,0
68.4,21.66952768777392,-13.43567640359119,-10,1.4069807428510606,0.6984313062274753,0,nan,nan,nan,0
68.5,21.8098574960932,-13.36509786282552,-10,1.3995897753453765,0.7131266093906593,0,nan,nan,nan,0
68.6,21.94944052679793,-13.293053688468222,-10,1.3920453270488824,0.7277437101849183,0,nan,nan,nan,0
68.7,22.088261473035814,-13.21955178097488,-10,1.3843482252953516,0.7422810056804292,0,nan,nan,nan,0
68.80000000000001,22.226305111525726,-13.144600200657957,-10,1.3764993141587318,0.7567369016989195,0,nan,nan,nan,0
68.9,22.363556304227124,-13.068207166802836,-10,1.368499454360576,0.7711098129884912,0,nan,nan,nan,0
69.0,22.5,-12.990381056766578,-10,1.3603495231756633,0.7853981633974485,0,nan,nan,nan,0
69.1,22.635621236255563,-12.91113040505916,-10,1.3520504143357888,0.7996003860471564,0,nan,nan,nan,0
69.2,22.77040514059696,-12.830463902407596,-10,1.3436030379317576,0.8137149235038592,0,nan,nan,nan,0
69.30000000000001,22.904336932450175,-12.748390394802954,-10,1.335008320313588,0.8277402279494649,0,nan,nan,nan,0
69.4,23.03740192468495,-12.664918882530225,-10,1.3262672039889203,0.8416747613512903,0,nan,nan,nan,0
69.5,23.1695855252254,-12.580058519181364,-10,1.317380647519662,0.8555169956307208,0,nan,nan,nan,0
69.6,23.30087323865017,-12.493818610651486,-10,1.3083496254168714,0.8692654128307828,0,nan,nan,nan,0
69.7,23.43125066778196,-12.406208614118427,-10,1.2991751280338952,0.8829185052825945,0,nan,nan,nan,0
69.80000000000001,23.560703515266475,-12.317238137005559,-10,1.2898581614577564,0.8964747757707161,0,nan,nan,nan,0
69.9,23.689217585140188,-12.22691693592831,-10,1.2803997473988333,0.9099327376973219,0,nan,nan,nan,0
70.0,23.816778784387093,-12.135254915624213,-10,1.270800923078815,0.923290915245228,0,nan,nan,nan,0
70.1,23.94337312448424,-12.042262127866717,-10,1.2610627411169557,0.9365478435397357,0,nan,nan,nan,0
70.2,24.068986722935616,-11.94794877036295,-10,1.2511862694146483,0.9497020688092636,0,nan,nan,nan,0
70.30000000000001,24.193605804794654,-11.852325185635351,-10,1.24117259103831,0.9627521485447788,0,nan,nan,nan,0
70.4,24.317216704174665,-11.75540185988759,-10,1.2310228041006215,0.9756966516579745,0,nan,nan,nan,0
70.5,24.43980586574755,-11.65718942185457,-10,1.2207380216400987,0.9885341586382115,0,nan,nan,nan,0
70.6,24.56135984623035,-11.557698641636836,-10,1.2103193714990337,1.00126326170819,0,nan,nan,nan,0
70.7,24.681865315859262,-11.456940429519626,-10,1.1997679961998249,1.0138825649783094,0,nan,nan,nan,0
